epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.062186329773982564,0.002,0.062186312,0.012376812,0.20032788526994805,0.20032783,0.19706617
1,0.05600009559422657,0.002,0.056000106,0.010700467,0.061184018817580246,0.061184004,0.011268382
2,0.05405303887290847,0.002,0.054053035,0.010029675,0.06391788214402448,0.063917875,0.011663221
3,0.05257240966372657,0.001,0.052572396,0.009697078,0.05556320736823375,0.055563174,0.00986491
4,0.051981496855668594,0.001,0.051981524,0.009524029,0.05868273390474367,0.058682732,0.010260051
5,0.051328644813325934,0.0005,0.05132865,0.0093742665,0.054804209996609496,0.054804213,0.009649625
6,0.050945196653571806,0.0005,0.0509452,0.009268086,0.0557875036213043,0.05578752,0.009710119
7,0.050569443407706784,0.00025,0.050569434,0.009179738,0.05328340744430369,0.053283416,0.009332207
8,0.05035172192030714,0.00025,0.050351717,0.009125963,0.05383328989052141,0.053833302,0.00951187
9,0.05022650505940516,0.000125,0.050226524,0.0091075655,0.05243192182473822,0.05243193,0.00905487
10,0.050118771478689816,0.000125,0.050118756,0.00906998,0.052083644308016486,0.05208364,0.008841804
11,0.050038778404776295,0.000125,0.050038714,0.009048459,0.05280488336958796,0.052804865,0.0092773745
12,0.04997354266185713,6.25e-05,0.049973544,0.00903397,0.0517516485364333,0.05175164,0.008852862
13,0.04993349028587936,6.25e-05,0.04993349,0.009022933,0.05182878005511008,0.051828787,0.008919422
14,0.04989601876885814,3.125e-05,0.049895994,0.009014759,0.05179051752549542,0.05179051,0.00891306
15,0.04987705847788927,1.5625e-05,0.049877096,0.009009583,0.051774217242651015,0.051774226,0.008916168
