epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,0.08345696039100303,0.01,0.08345695,0.15845612,0.06581510060048813,0.06581512093544006,0.014355548657476902
1,0.06015641193225275,0.01,0.060156435,0.0130868545,17.865202225413654,17.86520004272461,96923.3671875
2,0.05551709233185109,0.005,0.055517104,0.009912023,0.05926056591664049,0.059260569512844086,0.08236752450466156
3,0.05409876696742713,0.005,0.05409877,0.009499084,0.06107406629818194,0.061074066907167435,0.010455163195729256
4,0.052463321497462106,0.0025,0.052463304,0.009093974,0.05415444281992502,0.0541544184088707,0.009544883854687214
5,0.05178458344750499,0.0025,0.051784564,0.00889809,0.15000207983094044,0.15000209212303162,1.4261239767074585
6,0.05093105761831711,0.00125,0.05093105,0.008682335,0.05228554914241123,0.05228555575013161,0.009681849740445614
7,0.05080203097085182,0.00125,0.05080202,0.008642403,0.0526688447578241,0.05266885459423065,0.00935747753828764
8,0.050345711228736524,0.000625,0.050345726,0.008520775,0.054586874944515924,0.05458688363432884,0.009493592195212841
9,0.050123333095922255,0.0003125,0.05012332,0.008462038,0.06300905480664991,0.06300903856754303,0.29498234391212463
